VISITING	HOME	WEEK	DATE	TIME	TV
Buffalo	@Oakland	Week 16	SUN, DEC 21	4:25 PM	CBS
Seattle	@Arizona	Week 16	SUN, DEC 21	8:30 PM	NBC
Denver	@Cincinnati	Week 16	MON, DEC 22	8:30 PM	ESPN
Carolina	@Atlanta	Week 17	SUN, DEC 28	1:00 PM	FOX
Detroit	@Green Bay	Week 17	SUN, DEC 28	1:00 PM	FOX
Indianapolis	@Tennessee	Week 17	SUN, DEC 28	1:00 PM	CBS
San Diego	@Kansas City	Week 17	SUN, DEC 28	1:00 PM	CBS
NY Jets	@Miami	Week 17	SUN, DEC 28	1:00 PM	CBS
Chicago	@Minnesota	Week 17	SUN, DEC 28	1:00 PM	FOX
Buffalo	@New England	Week 17	SUN, DEC 28	1:00 PM	CBS
Philadelphia	@NY Giants	Week 17	SUN, DEC 28	1:00 PM	FOX
Cincinnati	@Pittsburgh	Week 17	SUN, DEC 28	1:00 PM	CBS
New Orleans	@Tampa Bay	Week 17	SUN, DEC 28	1:00 PM	FOX
Dallas	@Washington	Week 17	SUN, DEC 28	1:00 PM	FOX
Cleveland	@Baltimore	Week 17	SUN, DEC 28	1:00 PM	CBS
Jacksonville	@Houston	Week 17	SUN, DEC 28	1:00 PM	CBS
Oakland	@Denver	Week 17	SUN, DEC 28	4:25 PM	CBS
Arizona	@San Francisco	Week 17	SUN, DEC 28	4:25 PM	FOX
St. Louis	@Seattle	Week 17	SUN, DEC 28	4:25 PM	FOX
